server port,client port,Q1_IAT,Med_IAT,Min_IAT,Q3_IAT,Max_IAT,Var_IAT,Mean_IAT,Classes
4665,3416,0.000271,0.000509,0.094291,2.595945,0.158211,42.833106,107.522321,P2P
4662,3200,0.0004,0.000814,0.187057,2.215571,0.346452,41.048627,83.573767,P2P
4662,3438,0.000431,0.000841,0.07338,2.602364,0.205984,42.674021,106.644616,P2P
8765,54210,0.000045,0.000117,0.000373,0.033262,0.002667,0.157341,0.004237,P2P
8765,53819,0.000001,0.000168,0.00029,0.038055,0.017592,0.163539,0.004961,P2P
4662,3390,0.000354,0.00064,0.080324,2.576445,0.215429,41.862863,102.519033,P2P
8765,45887,0.000001,0.000178,0.000347,0.036071,0.010342,0.157885,0.004679,P2P
6347,4807,0.000001,0.132958,0.197844,0.685418,0.531968,16.691523,2.53517,P2P
4662,3296,0.000456,0.344935,0.689415,0.689415,1.033894,1.378373,0.949328,P2P
8765,44741,0.000002,0.000124,0.000299,0.029794,0.00661,0.156939,0.00395,P2P
8765,45907,0,0.000252,0.000383,0.029359,0.003342,0.158127,0.004003,P2P
4662,3414,0.000288,0.000527,0.101178,2.526515,0.129702,41.780573,102.330552,P2P
8765,16193,0,0.000117,0.000564,0.953886,0.138697,12.123366,10.143018,P2P
4662,3482,1.149974,1.149974,1.149974,1.149974,1.149974,1.149974,0,P2P
8765,48954,0.000001,0.000137,0.00023,0.034991,0.018996,0.158087,0.004205,P2P
4662,3262,0.000384,0.000899,0.093954,1.974879,0.247016,44.451869,78.398113,P2P
8765,38693,0.000001,0.00013,0.000254,0.0386,0.026239,0.160642,0.004813,P2P
8765,45741,0.000067,0.000164,0.00035,0.040105,0.02637,0.164845,0.004943,P2P
4662,3292,0.000425,0.000901,0.436856,2.790979,1.016547,41.965801,95.833371,P2P
8765,45993,0.000054,0.00014,0.000265,0.034938,0.01854,0.159795,0.004199,P2P
8765,43772,0.00005,0.000337,0.000397,0.039404,0.008068,0.173475,0.005688,P2P
8765,45006,0.000025,0.000114,0.000144,0.033991,0.000517,0.179824,0.005039,P2P
8765,35624,0.000001,0.00036,0.000388,0.036647,0.017878,0.155982,0.004545,P2P
4662,3510,2.140707,2.140707,2.140707,2.140707,2.140707,2.140707,0,P2P
4662,3550,1.762558,1.762558,1.762558,1.762558,1.762558,1.762558,0,P2P
8765,55718,0.000001,0.000107,0.000163,0.030981,0.000403,0.159775,0.003942,P2P
8765,47846,0.000094,0.000116,0.000169,0.029762,0.00045,0.154552,0.003625,P2P
8765,59731,0.000001,0.000311,0.000392,0.03742,0.017661,0.158827,0.004754,P2P
4662,3594,0.000457,0.000541,0.970344,2.802335,2.372641,37.275146,60.828288,P2P
4662,3570,0.000386,0.000724,0.051143,2.458349,0.269159,44.552192,98.582239,P2P
8765,42115,0.000001,0.000126,0.000259,0.036783,0.000612,0.184323,0.005254,P2P
8765,32827,0.000027,0.000136,0.000274,0.034226,0.009963,0.157316,0.00426,P2P
4662,3596,0.00041,0.000904,0.114342,2.715841,0.192968,43.973605,98.082417,P2P
3492,4662,0.86818,1.094882,1.321585,1.321585,1.548287,1.774989,0.411151,P2P
8765,53841,0.000003,0.000115,0.000264,0.033201,0.002754,0.15663,0.00423,P2P
6346,4809,2.599946,2.684236,2.768526,2.768526,2.852816,2.937106,0.056838,P2P
8765,37223,0.000003,0.000081,0.000118,0.015887,0.000268,0.169443,0.00219,P2P
4662,3584,0.00025,0.000453,0.11388,3.003445,0.301496,39.947166,113.099514,P2P
6662,3590,0.000435,0.000829,0.308645,2.330907,0.643976,43.841511,86.132834,P2P
3548,4662,0.000486,0.001916,0.345857,0.392279,0.736221,0.876917,0.209541,P2P
4662,3345,0.000406,0.000842,0.186909,3.288291,0.398388,41.742518,114.141437,P2P
8765,41436,0.000001,0.000187,0.000362,0.032972,0.009962,0.161221,0.004177,P2P
4662,3220,0.000383,0.000736,0.490173,2.826427,0.657885,40.391442,94.238334,P2P
8765,60865,0.000002,0.000157,0.000318,0.035703,0.006669,0.158081,0.004717,P2P
4662,3296,0.000392,0.000447,0.000865,0.748554,0.695325,3.84708,1.974745,P2P
8765,46777,0.000032,0.000116,0.00034,0.034249,0.013324,0.157931,0.00415,P2P
4662,3530,0.000064,0.000502,0.065185,1.585792,0.16953,41.596528,61.515619,P2P
6346,4800,0.28542,0.28542,0.28542,0.28542,0.28542,0.28542,0,P2P
4662,3428,0.000381,0.000825,0.130248,4.627155,0.705814,43.632771,178.002927,P2P
8765,56862,0.000077,0.000123,0.000296,0.034755,0.019713,0.155031,0.004121,P2P
4662,3486,0.00041,0.001065,0.157874,2.471527,0.259329,44.621952,98.586735,P2P
4662,3488,0.000277,0.000534,0.046838,2.357409,0.199101,40.896986,92.522013,P2P
8765,58363,0.00004,0.000114,0.000254,0.029971,0.000402,0.156309,0.003874,P2P
6346,4792,0,0.00016,0.00073,0.013022,0.012071,0.598951,0.00131,P2P
4662,3440,2.202525,2.202525,2.202525,2.202525,2.202525,2.202525,0,P2P
8765,49229,0.000028,0.000118,0.000335,0.028234,0.000517,0.158405,0.003814,P2P
8765,33259,0.000002,0.000102,0.000316,0.031779,0.002962,0.157419,0.004156,P2P
8765,45494,0.000036,0.000138,0.000422,0.06311,0.168488,0.297995,0.009056,P2P
6346,4784,0,0.000213,0.000565,0.156696,0.120594,5.210605,0.283036,P2P
4662,3376,0.000298,0.000605,0.155288,2.317341,0.393391,42.771589,86.179918,P2P
6346,4776,0,0.000433,0.000583,0.174161,0.20272,4.15805,0.216957,P2P
6662,3339,0.000268,0.00056,0.115607,1.921406,0.173341,40.003826,72.361751,P2P
4662,3216,0.000411,0.00068,0.095244,2.30348,0.173783,42.987099,91.779807,P2P
8765,47234,0.000001,0.000113,0.000242,0.039108,0.003026,0.187711,0.005892,P2P
4662,3492,2.608964,2.608964,2.608964,2.608964,2.608964,2.608964,0,P2P
3548,4662,0.000536,0.000689,0.000842,0.297058,0.445319,0.889795,0.263503,P2P
8765,53581,0.00008,0.000117,0.000294,0.034049,0.008428,0.160338,0.004261,P2P
3482,4662,0.000505,0.000828,0.001505,0.531833,1.186396,1.346376,0.44204,P2P
4662,3170,0.000377,0.029908,0.391814,2.975718,2.413795,40.480812,73.412233,P2P
8765,33342,0.000001,0.000277,0.000377,0.049955,0.06419,0.19344,0.006924,P2P
8000,54049,0.00007,0.000341,0.297475,1.112684,2.244423,5.241048,2.935088,P2P
8765,60543,0.000022,0.000171,0.000373,0.05315,0.103205,0.189553,0.00751,P2P
8765,41502,0.000006,0.000117,0.000328,0.033038,0.002563,0.156883,0.00419,P2P
8765,33173,0.000116,0.000249,0.000385,0.043503,0.021104,0.197044,0.00656,P2P
4662,3208,0.000405,0.000773,0.125229,2.605869,0.265182,42.1887,104.065951,P2P
3751,20,0.000002,0.000009,0.000298,0.009014,0.019367,0.032712,0.000197,FTP-DATA
3428,20,0.000001,0.000011,0.000041,0.003764,0.000347,0.03237,0.000089,FTP-DATA
3201,20,0,0.000009,0.000031,0.002385,0.000281,0.033518,0.000048,FTP-DATA
3169,20,0.000001,0.000012,0.000021,0.001659,0.000204,0.033016,0.000044,FTP-DATA
3942,20,0.000001,0.000007,0.000017,0.00098,0.000096,0.0322,0.000024,FTP-DATA
15301,20,0.000002,0.000016,0.000465,0.067639,0.132061,0.254307,0.011085,FTP-DATA
3324,20,0.000001,0.000004,0.000018,0.001572,0.000157,0.037298,0.00003,FTP-DATA
3774,20,0.000001,0.000008,0.000021,0.00407,0.000191,0.229208,0.000435,FTP-DATA
3375,20,0.000001,0.000009,0.000018,0.001739,0.000104,0.03266,0.000048,FTP-DATA
3533,20,0,0.000007,0.000017,0.001172,0.000114,0.034699,0.000027,FTP-DATA
3754,20,0.000001,0.000012,0.000024,0.003624,0.00025,0.036781,0.000105,FTP-DATA
3578,20,0.000001,0.000014,0.00012,0.005139,0.001401,0.033539,0.00012,FTP-DATA
3335,20,0.000001,0.000011,0.000027,0.003507,0.000263,0.031771,0.000085,FTP-DATA
